# Measured G1 fall: two deliberate falls, peak tilt 81.15 deg, yaw spun at 0.7 rad/s to exercise yaw invariance.
t_s,qw,qx,qy,qz
0.0008,0.999219719,0.039495251,0.000011057,0.000279745
0.0216,0.999187823,0.039579576,0.000299227,0.007554007
0.0438,0.999097136,0.039622265,0.000607455,0.015317316
0.0656,0.998948208,0.039691448,0.000911475,0.022939853
0.0862,0.998756847,0.039683844,0.001197625,0.030141639
0.1068,0.998514574,0.039648908,0.001482765,0.037341813
0.1275,0.998220042,0.039581374,0.001767490,0.044575099
0.1476,0.997883825,0.039515711,0.002043199,0.051596564
0.1687,0.997479225,0.039407276,0.002329510,0.058964693
0.1890,0.997039572,0.039276620,0.002601943,0.066050500
0.2092,0.996552025,0.039146797,0.002871460,0.073098183
0.2299,0.996000848,0.039008497,0.003145609,0.080316582
0.2513,0.995375151,0.038886556,0.003429112,0.087774632
0.2723,0.994711745,0.038638950,0.003693675,0.095089078
0.2924,0.994024745,0.038442857,0.003948033,0.102085096
0.3129,0.993273529,0.038236715,0.004204313,0.109215265
0.3340,0.992445385,0.038061722,0.004469793,0.116548206
0.3541,0.991602934,0.037976550,0.004730870,0.123527410
0.3753,0.990665220,0.037779602,0.004991278,0.130882427
0.3976,0.989617137,0.037644498,0.005272688,0.138611013
0.4182,0.988593608,0.037564094,0.005537861,0.145742748
0.4388,0.987517387,0.037516296,0.005807483,0.152866644
0.4598,0.986367407,0.037465712,0.006081952,0.160120795
0.4808,0.985163108,0.037440631,0.006360663,0.167366041
0.5010,0.983954663,0.037409323,0.006627793,0.174326810
0.5219,0.982652528,0.037376133,0.006904272,0.181519599
0.5421,0.981345677,0.037298982,0.007163084,0.188462563
0.5622,0.979995481,0.037250233,0.007425813,0.195361548
0.5826,0.978575985,0.037186870,0.007689646,0.202353767
0.6029,0.977112414,0.037161994,0.007960237,0.209301103
0.6245,0.975499629,0.037168005,0.008255890,0.216681455
0.6498,0.973540555,0.037149515,0.008597662,0.225310410
